Time,X,Y,Z
14.00425,-5.988672,0.2313529,3.514656
15.00746,-6.607608,0.231353,3.589629
16.00778,-6.431967,0.231353,3.547737
17.00896,-7.887234,0.2313529,2.905271
18.0098,-8.337337,0.231353,2.02804
19.01117,-9.144895,0.231353,2.068526
20.01215,-9.144895,0.231353,2.068526
21.0154,-9.010152,0.231353,1.453308
22.01721,-9.041236,0.231353,1.129695
23.02056,-9.000331,0.2313529,0.9441875
24.02065,-8.950465,0.2313529,-0.2831721
0.9805682,0.6173329,0.231353,8.326977
1.987662,2.10879,0.231353,8.079214
2.990071,2.271673,0.2313531,8.025002
3.991873,1.888626,0.231353,7.647267
4.992081,1.888626,0.231353,7.647267
5.995914,1.888626,0.231353,7.647267
6.997146,1.888626,0.231353,7.647267
7.998998,2.072798,0.2313529,7.684881
9.002311,2.88611,0.231353,8.058802
10.00784,1.874527,0.231353,7.649109
11.00877,1.874527,0.2313529,7.649109
12.0091,2.730475,0.231353,8.378894
13.01026,2.533736,0.231353,9.362166
14.01217,2.189845,0.231353,9.458503
15.01409,0.9470984,0.3313129,9.492928
16.01426,-0.3968612,0.231353,9.291328
17.01812,-0.952228,0.2313529,7.825895
18.01861,-0.6806241,0.231353,6.608117
19.02065,-0.5484296,0.231353,5.364426
20.02361,-0.5553705,0.231353,5.039477
21.02706,-0.05694071,0.231353,4.512282
22.02746,0.4522876,0.231353,3.013838
23.03054,0.4522876,0.231353,3.013838
24.03429,0.8140357,0.231353,3.57505
25.03638,1.511319,0.231353,4.362319
26.03744,1.975726,0.231353,4.499748
27.03964,2.367105,0.231353,4.695542
28.04276,2.367105,0.231353,4.695542
29.04417,3.358819,0.231353,5.827469
30.04526,4.593622,0.231353,5.57971
31.04815,5.592566,0.30416,4.879449
32.04985,6.181747,0.2313529,3.787406
33.05269,6.188472,0.231353,2.615386
34.05309,6.296526,0.231353,2.215564
35.05457,6.356299,0.231353,2.224783
36.05531,5.566035,0.2313529,2.40401
37.05827,5.540908,0.2313529,1.485531
38.05951,5.947793,0.3313298,1.503397
39.06151,5.947793,0.3313298,1.503397
0.9823685,0.1722525,0.2313529,7.696333
1.984531,0.7397229,0.231353,7.522827
2.987943,1.452179,0.2313529,6.639463
3.991252,1.452179,0.2313529,6.639463
4.991956,1.452179,0.2313529,6.639463
5.994787,1.452179,0.2313529,6.639463
6.995857,1.452179,0.2313529,6.639463
8.001994,1.452179,0.2313529,6.639463
9.003223,1.452179,0.2313529,6.639463
0.9821416,0.05559153,0.231353,8.249225
1.983381,0.3626586,0.231353,8.353311
2.984864,0.07904143,0.231353,8.258413
3.985586,-0.582498,0.231353,8.037066
4.987147,0.3753519,0.231353,8.357557
5.988394,0.3722856,0.231353,8.356532
6.990276,-0.1146099,0.231353,8.193619
0.9822172,0.1722525,0.2313529,7.696333
1.982738,0.2049454,0.231353,7.395692
2.985597,0.3380468,0.231353,6.150312
3.985996,0.4178838,0.2313529,5.640483
4.989075,0.4178838,0.2313529,5.640483
5.989859,0.4178838,0.2313529,5.640483
6.992395,0.4178838,0.2313529,5.640483
0.9815729,-0.09762039,0.2313529,8.64555
1.983569,-0.2948501,0.231353,9.361589
2.983953,-0.2948501,0.231353,9.361589
3.984349,-0.4144633,0.2313529,9.656623
4.985869,-0.1746007,0.231353,9.004342
5.98845,-0.2992182,0.231353,9.376592
6.988685,-0.2992182,0.231353,9.376592
7.98948,-0.3514822,0.231353,9.030121
8.990773,-0.2924787,0.231353,9.372898
9.993412,-0.2644897,0.231353,9.295999
10.99427,-0.07030934,0.2313529,8.763348
0.9819165,0.3245658,0.2313529,8.782002
1.984504,0.05745901,0.2313529,8.706766
2.987047,-0.2185896,0.231353,8.352621
3.989247,-0.302467,0.231353,8.255208
4.989921,-1.408822,0.231353,8.690285
5.989985,-2.040002,0.231353,9.349635
6.990265,-2.331485,0.2313531,9.11803
7.991345,-3.571182,0.231353,9.386827
8.99215,-3.957949,0.231353,9.591322
9.993914,-3.878556,0.231353,9.519594
10.99525,-3.048362,0.231353,9.498874
11.99777,-2.422888,0.231353,9.222545
13.00054,-1.112542,0.3107228,9.496206
14.00418,-1.038318,0.3313529,9.515903
15.00525,-1.038318,0.3306714,9.515903
0.9802048,0.2071635,0.231353,7.755973
1.981892,0.5468873,0.2313529,8.906594
